f0008:

W_Fdic:
the                 : 778     and                 : 281     of                  : 269     resource            : 244     
statement           : ['NN']                             time                : ['NN', 'NNP']                      
determining         : ['VBG']                            structures          : ['NNS']                            
relations           : ['NNS']                            schema              : ['NN', 'NNP']                      
rsm                 : ['NNP', 'NN']                      mining              : ['NNP']                            
times               : ['NNS']                            accompany           : ['VB']                             
relationship        : ['NN']                             that                : ['WDT', 'IN', 'DT']                
completed           : ['VBN']                            continuous          : ['JJ']                             
accurately          : ['RB']                             opinion             : ['NN']                             
direct              : ['JJ']                             part                : ['NN']                             
western             : ['NNP']                            manipulation        : ['NN']                             
x2                  : ['NNP']                            natural             : ['JJ']                             
x1                  : ['NNP', 'NNS']                     representing        : ['VBG']                            
than                : ['IN']                             cyber-socio         : ['JJ']                             
rss                 : ['NNP']                            11                  : ['CD']                             
10                  : ['CD']                             13                  : ['CD']                             
12                  : ['CD']                             5-star              : ['JJ']                             
14                  : ['CD']                             17                  : ['CD']                             
16                  : ['CD']                             19                  : ['CD']                             
18                  : ['CD']                             distinguishes       : ['VBZ']                            
database            : ['NN', 'NNP', 'VB']                tree                : ['NN', 'JJ']                       
incites             : ['VBZ']                            classes             : ['NNS', 'NNP']                     
characteristics     : ['NNS']                            store               : ['NN', 'VB', 'VBP']                
were                : ['VBD']                            accessed            : ['VBN']                            
providing           : ['VBG']                            distinguished       : ['JJ', 'VBD']                      
result              : ['NN', 'VB']                       schemas             : ['NNS']                            
1.5                 : ['CD', 'NNP']                      motivation          : ['NN']                             
webmining           : ['NNP']                            better              : ['JJR']                            
shrinks             : ['VBZ']                            generality          : ['RB']                             
exploring           : ['VBG']                            arduous             : ['JJ']                             
topics              : ['NNS', 'NNP']                     mind                : ['NN']                             
locations           : ['NNP']                            generalization      : ['NN']                             
needs               : ['VBZ']                            say                 : ['VBP']                            
socio               : ['NN', 'JJ']                       tables              : ['NNS']                            
have                : ['VBP', 'VB', 'JJ']                initialized         : ['VBN']                            
need                : ['VBP', 'VB']                      seen                : ['VBN']                            
null                : ['JJ']                             clearly             : ['RB']                             
viewed              : ['VBN']                            attribute-based     : ['JJ']                             
documents           : ['NNS']                            angle               : ['NN']                             
mappings            : ['NNS']                            depending           : ['VBG']                            
efficient           : ['JJ']                             studying            : ['VBG']                            
tuple               : ['NN', 'JJ']                       able                : ['JJ']                             
isolated            : ['VBN']                            mechanism           : ['NN']                             
indexes             : ['NNS']                            chiba               : ['NNP']                            
also                : ['RB']                             potential           : ['JJ']                             
take                : ['VB']                             which               : ['WDT']                            
multi-dimensions    : ['NNS']                            xi                  : ['NNP', 'JJ']                      
so                  : ['RB', 'IN']                       concern             : ['VB', 'NN']                       
misplacing          : ['VB']                             adopted             : ['VBN']                            
webservices         : ['NNP']                            calculus            : ['NNS']                            
formulas            : ['NNS']                            play                : ['VB']                             
acquire             : ['VB']                             multiple            : ['JJ']                             
trace               : ['VB']                             normal              : ['JJ', 'NNP']                      
price               : ['NN', 'NNP']                      who                 : ['WP']                             
reach               : ['VB']                             systems             : ['NNS']                            
falls               : ['VBZ']                            most                : ['RBS']                            
detect              : ['VBP', 'VB']                      eight               : ['CD']                             
but                 : ['CC']                             significant         : ['JJ']                             
services            : ['NNS', 'NNP']                     misjudgment         : ['NNP']                            
future              : ['JJ']                             probabilistic       : ['NNP', 'JJ', 'NN', 'VBG']         
pages               : ['NNS']                            inconsistency       : ['NN']                             
countries           : ['NNS']                            especially          : ['RB']                             
average             : ['JJ']                             sometimes           : ['RB']                             
versa               : ['RB', 'NNS']                      order               : ['NN']                             
traditional         : ['JJ']                             regards             : ['VBZ']                            
formation           : ['NN']                             duplication         : ['NN']                             
physics             : ['NN']                             notion              : ['NN']                             
incomplete          : ['JJ']                             laws                : ['NNS']                            
incorporate         : ['VB']                             emerging            : ['VBG']                            
selection           : ['NN']                             simultaneously      : ['RB']                             
programming         : ['VBG', 'NN']                      distances           : ['NNS']                            
text                : ['NN']                             authors             : ['NNS']                            
cooccurred          : ['VBN']                            7.2                 : ['CD']                             
area                : ['NN', 'NNP']                      spaces              : ['NNS', 'VBD', 'NNP', 'NN']        
relation            : ['NN', 'NNP']                      fuzzy               : ['JJ']                             
threshold           : ['NN']                             dimension           : ['NN']                             
fine                : ['JJ']                             find                : ['VB', 'VBP']                      
make                : ['VB']                             impact              : ['NN']                             
access              : ['VB']                             trade-off           : ['NN']                             
ratio               : ['NN']                             knowledge           : ['NN']                             
queries             : ['NNS']                            situations          : ['NNS']                            
original            : ['JJ']                             distributed         : ['VBN']                            
misjudge            : ['VB']                             universal           : ['JJ']                             
should              : ['MD']                             examples            : ['NNS']                            
entities            : ['NNS']                            only                : ['RB', 'JJ']                       
explicitly          : ['RB']                             enriched            : ['VBN']                            
updating            : ['VBG']                            organizes           : ['VBZ']                            
4-dimensional       : ['JJ']                             merged              : ['VBN']                            
do                  : ['VBP']                            move                : ['VB']                             
na?ve               : ['NNP']                            establishes         : ['VBZ']                            
get                 : ['VBP']                            dependent           : ['JJ']                             
familiar            : ['JJ']                             bookshelfs          : ['NNS']                            
db                  : ['NNP']                            kind                : ['NN']                             
trees               : ['NNS']                            obtain              : ['VB']                             
methods             : ['NNS']                            closely             : ['RB']                             
probably            : ['RB']                             15                  : ['CD']                             
entity              : ['NN']                             exhibit             : ['VB']                             
target              : ['NN']                             very                : ['RB']                             
evolution           : ['NN']                             resolve             : ['VB']                             
querying            : ['VBG']                            keyword             : ['JJ']                             
sources             : ['NNS']                            seldom              : ['RB']                             
generally           : ['RB']                             remove              : ['VB']                             
whether             : ['IN']                             paper               : ['NN']                             
common              : ['JJ']                             recommendations     : ['NNS']                            
an                  : ['DT']                             discovery           : ['NN']                             
automatic           : ['JJ']                             locating            : ['VBG']                            
consciously         : ['RB']                             ignored             : ['VBN']                            
set                 : ['VBN', 'NN', 'VB', 'VBD']         computed            : ['VBN']                            
reference           : ['NN']                             intelligence        : ['NN']                             
humans              : ['NNS', 'VB']                      maximum             : ['NN']                             
mentioned           : ['VBN']                            depends             : ['VBZ']                            
computer            : ['NNP']                            college             : ['NN']                             
projections         : ['NNS']                            chemistry.g1.c1     : ['NN']                             
-rsb-               : ['CD', 'NNP', 'NNS', 'JJ', 'RB', 'VBN', 'NNPS', 'VBZ', 'NN']incorporating       : ['VBG']                            
techniques          : ['NNS']                            knowing             : ['VBG']                            
evaluation          : ['NNP', 'NN']                      inequalities        : ['NNS']                            
classification-preserve: ['NN']                             inappropriate       : ['JJ']                             
managing            : ['VBG']                            pattern             : ['NN']                             
-rcb-               : ['-RRB-']                          nature              : ['NN']                             
definite            : ['JJ']                             ensures             : ['VBZ']                            
label               : ['NN']                             taxonomies          : ['NNS']                            
state               : ['NN']                             determined          : ['VBN']                            
various             : ['JJ']                             correctly           : ['RB']                             
between             : ['IN']                             progress            : ['NN']                             
neither             : ['RB']                             previous            : ['JJ']                             
approach            : ['NN']                             supposed            : ['VBN']                            
available           : ['JJ']                             we                  : ['PRP']                            
terms               : ['NNS']                            creating            : ['VBG']                            
parent              : ['NN']                             superior            : ['JJ']                             
he/she              : ['NN']                             interfaces          : ['NNP']                            
subject             : ['VB']                             style               : ['NN']                             
scalability         : ['NNP']                            however             : ['RB']                             
efficiency          : ['NN']                             derive              : ['VB']                             
multimedia          : ['FW']                             key                 : ['NNP', 'NN']                      
analyzed            : ['VBN']                            modeling            : ['NN']                             
e-learning          : ['NNP']                            cities              : ['NNS']                            
sercurity           : ['NNP']                            linkage             : ['NN']                             
both                : ['DT', 'CC', 'PDT']                enables             : ['VBZ']                            
improved            : ['VBN']                            resides             : ['VBZ']                            
tractable           : ['JJ']                             many                : ['JJ']                             
region              : ['NN']                             uncertainty         : ['NN']                             
equal               : ['JJ', 'CD']                       minds               : ['NNS']                            
called              : ['VBN']                            facet               : ['NN', 'VBP']                      
etc                 : ['FW']                             merging             : ['VBG']                            
objects             : ['NNS']                            long-term           : ['JJ']                             
let                 : ['IN', 'VB']                       delete              : ['NN', 'NNP']                      
expression          : ['NN']                             adaption            : ['NN']                             
experimental        : ['JJ']                             otherwise           : ['RB']                             
ck                  : ['NNP', 'NNS']                     behaviors           : ['NNS', 'NNP']                     
adjusted            : ['VBN']                            relevant            : ['JJ']                             
extent              : ['NN']                             cm                  : ['NNP']                            
large-scale         : ['JJ']                             reasons             : ['NNS']                            
removal             : ['NN']                             co-naviation        : ['NN']                             
2nf                 : ['CD']                             community           : ['NN']                             
gradully            : ['RB']                             satisfaction        : ['NN']                             
interface           : ['NN']                             exhibits            : ['VBZ']                            
learning            : ['VBG', 'NN']                      cs                  : ['NNP']                            
table               : ['NN']                             considers           : ['VBZ']                            
math                : ['NN']                             conference          : ['NN']                             
first-level         : ['JJ']                             provinces           : ['NNS']                            
described           : ['VBN']                            basis               : ['NN']                             
addition            : ['NN']                             create              : ['VB']                             
computing           : ['NNP']                            three               : ['CD']                             
been                : ['VBN']                            strategy            : ['NN']                             
3.3                 : ['CD']                             describes           : ['VBZ']                            
goes                : ['VBZ']                            basic               : ['JJ']                             
pj                  : ['NN']                             flexible            : ['JJ']                             
algebras            : ['NNS']                            meeting             : ['NN']                             
ontologies          : ['NNP']                            empty               : ['JJ']                             
define              : ['VB']                             unclear             : ['JJ']                             
ebdata              : ['NNP']                            shopping            : ['NN']                             
samples             : ['NNS']                            self-organized      : ['JJ']                             
restrictions        : ['NNS']                            with                : ['IN']                             
100                 : ['CD']                             formed              : ['VBN']                            
precision           : ['NN']                             new                 : ['JJ', 'NNP']                      
gap                 : ['NN']                             x.                  : ['NNP']                            
photos              : ['NNS']                            generalizing        : ['VBG']                            
sensed              : ['VBD']                            demand              : ['NN']                             
c2                  : ['NNP']                            c1                  : ['NNP', 'JJ', 'NNS']               
denote              : ['VBP']                            present             : ['JJ']                             
case                : ['NN']                             probview            : ['NNP']                            
p1                  : ['NNS', 'CD', 'JJ', 'NNP']         classifications     : ['NNS', 'NNP']                     
processes           : ['NNS']                            unlike              : ['IN']                             
these               : ['DT']                             physical            : ['JJ']                             
as                  : ['IN', 'RB']                       value               : ['NN']                             
will                : ['MD']                             euclidean           : ['JJ']                             
sln                 : ['NNP']                            reliability         : ['NNP']                            
applies             : ['VBZ']                            situation           : ['NN']                             
balance             : ['NN']                             limitations         : ['NNS']                            
3-star              : ['JJ']                             facility.room       : ['NNP']                            
3nf                 : ['CD']                             layer               : ['NN']                             
changed             : ['JJ']                             satisfying          : ['JJ', 'VBG']                      
enriching           : ['VBG']                            allows              : ['VBZ']                            
is                  : ['VBZ']                            thus                : ['RB']                             
it                  : ['PRP']                            according           : ['VBG']                            
tuples              : ['NNS']                            cluster             : ['NN']                             
itself              : ['PRP']                            experience          : ['NN', 'NNP']                      
in                  : ['IN']                             loosing             : ['VBG']                            
models              : ['NNS']                            if                  : ['IN']                             
sequentially        : ['RB']                             hong                : ['NNP']                            
regulate            : ['VB']                             verified            : ['VBN']                            
specialization      : ['NN', 'NNP']                      contents            : ['NNS']                            
nf                  : ['NN', 'NNP']                      large               : ['JJ']                             
realizing           : ['VBG']                            views               : ['NNS']                            
same                : ['JJ']                             any                 : ['DT']                             
parts               : ['NNS']                            virtually           : ['RB']                             
2005                : ['CD']                             modification        : ['NNP', 'NN']                      
www2005             : ['NNP']                            hierarchies         : ['NNS']                            
document            : ['NNP']                            lacks               : ['VBZ']                            
events              : ['NNS']                            www2002             : ['NNP']                            
difficult           : ['JJ']                             comparies           : ['VBZ']                            
evolve              : ['VB', 'NNS']                      used                : ['VBN']                            
commonsense         : ['NN']                             n-dimensional       : ['JJ']                             
comprehensive       : ['JJ']                             rdb                 : ['NNP']                            
effect              : ['NN']                             x3                  : ['NNP']                            
sauna               : ['NN']                             effectively         : ['RB']                             
co-access           : ['JJ', 'NNS']                      levels              : ['NNS']                            
uses                : ['VBZ']                            user                : ['NN', 'NNP']                      
student             : ['NN']                             attributes          : ['NNS']                            
-lcb-               : ['-LRB-']                          interested          : ['JJ']                             
normalization       : ['NN', 'NNP']                      webdata             : ['NNP']                            
obeyed              : ['VBN']                            lower               : ['JJR']                            
suitable            : ['JJ']                             scenario            : ['NN']                             
largely             : ['RB']                             performance         : ['NNP', 'NN']                      
navigation          : ['NN', 'JJ']                       markup              : ['NNP']                            
min                 : ['NN']                             well                : ['RB']                             
cultural            : ['JJ']                             ccs                 : ['NNP']                            
thought             : ['NN']                             patterns            : ['NNS', 'VB']                      
directly            : ['RB']                             without             : ['IN']                             
regulating          : ['VBG']                            extensible          : ['CD']                             
selections          : ['VBN']                            consistency         : ['NN']                             
coordinate          : ['NN', 'JJ', 'NNP', 'VB', 'NNS']   entry               : ['NN']                             
the                 : ['DT', 'NNP']                      chemistry           : ['NN']                             
loss                : ['NN']                             semanticweb         : ['NNP']                            
browsing            : ['NN', 'JJ']                       uniquely            : ['RB']                             
ui                  : ['NNP']                            construct           : ['VB']                             
drawn               : ['VBN']                            just                : ['RB']                             
less                : ['JJR']                            being               : ['VBG']                            
rule2               : ['NNS']                            accurate            : ['JJ']                             
networks            : ['NNS']                            ci                  : ['NNP']                            
not                 : ['RB']                             intervals           : ['NNS']                            
identify            : ['VB']                             atomic              : ['JJ']                             
aspect              : ['NN']                             world               : ['NNP']                            
years               : ['NNP', 'VBZ']                     useful              : ['JJ']                             
coordinating        : ['VBG']                            32                  : ['CD']                             
based               : ['VBN']                            adding              : ['VBG']                            
designers           : ['NNS']                            candidate           : ['NN']                             
instance            : ['NN']                             thinking            : ['VBG']                            
regarded            : ['VBN']                            point               : ['NN', 'NNP', 'VB']                
except              : ['IN']                             recommending        : ['VBG']                            
add                 : ['VB']                             belongs             : ['VBZ']                            
transformed         : ['VBN']                            maintaining         : ['VBG']                            
easy                : ['JJ']                             theorem             : ['NNP', 'VB', 'NN']                
reason              : ['NN']                             input               : ['VBZ']                            
0.5                 : ['CD']                             has                 : ['VBZ']                            
transformation      : ['NN']                             smart               : ['JJ']                             
real                : ['JJ']                             ...                 : [':', '.', 'NNS', 'NNP']           
multi-layer         : ['NN', 'JJ']                       c.                  : ['NNP']                            
represents          : ['VBZ']                            rules               : ['NNS', 'NNP', 'VBZ']              
evaluate            : ['VB']                             capacities          : ['NNS']                            
papers              : ['NNS']                            possible            : ['JJ']                             
corresponds         : ['NNS']                            non-null            : ['JJ']                             
increases           : ['VBZ']                            inserting           : ['VBG']                            
traffic             : ['NN']                             know                : ['VB']                             
insert              : ['NN', 'VB']                       top-level           : ['JJ']                             
taking              : ['VBG']                            depicts             : ['VBZ']                            
advanced            : ['JJ']                             like                : ['IN']                             
meaning             : ['NN']                             dimensional         : ['NN', 'JJ']                       
necessary           : ['JJ']                             helpful             : ['JJ']                             
identifying         : ['RB']                             follows             : ['JJ', 'VBZ']                      
hotel               : ['NNP', 'NN']                      guarantees          : ['NNS']                            
user-defined        : ['JJ']                             associate           : ['VBP']                            
units               : ['NNS']                            specific            : ['JJ']                             
individuals         : ['NNS']                            steps               : ['NNS']                            
either              : ['CC']                             lose                : ['VB']                             
become              : ['VBP', 'VB']                      accuracy            : ['NN']                             
facets              : ['NNS']                            adaptation          : ['NN', 'NNP']                      
specifies           : ['VBZ']                            judge               : ['VB']                             
preserves           : ['VBZ']                            functional          : ['JJ']                             
often               : ['RB']                             deal                : ['VB']                             
conditional         : ['JJ']                             some                : ['DT']                             
searching           : ['VBG']                            unnecessary         : ['JJ']                             
certain             : ['JJ']                             polynomial          : ['JJ', 'NN']                       
sure                : ['JJ']                             b1                  : ['NNPS', 'NNS']                    
b2                  : ['NNS']                            specified           : ['VBN']                            
images              : ['NNS']                            organizing          : ['VBG']                            
matching            : ['NN', 'VBG', 'JJ']                exists              : ['VBZ']                            
happens             : ['VBZ']                            gradually           : ['RB']                             
scale               : ['NN']                             leaf                : ['NN']                             
dimensions          : ['NNS', 'JJ']                      for                 : ['IN']                             
micro               : ['JJ']                             affects             : ['VBZ']                            
ability             : ['NN']                             integration         : ['NN']                             
comments            : ['NNS']                            when                : ['WRB']                            
referential         : ['JJ']                             does                : ['VBZ']                            
eliminate           : ['VB']                             provides            : ['VBZ']                            
l2                  : ['CD']                             ct                  : ['NNP']                            
active              : ['JJ']                             refer               : ['VBP']                            
locate              : ['VB']                             specializing        : ['VBG']                            
object              : ['JJ', 'NN']                       unified             : ['JJ']                             
selecting           : ['VBG', 'JJ']                      equivalent          : ['JJ']                             
each                : ['DT']                             confidence          : ['NN']                             
interval            : ['NN', 'JJ', 'VBZ', 'VBP']         step                : ['NN']                             
cube                : ['NN']                             although            : ['IN']                             
analysized          : ['VBN']                            webengineering      : ['NNP']                            
xi/xj               : ['NNP']                            by                  : ['IN']                             
takes               : ['VBZ']                            chapter             : ['NN']                             
comparison          : ['NN']                             about               : ['IN']                             
anything            : ['NN']                             constraint          : ['NN', 'VB', 'NNP']                
tracing             : ['VBG']                            theorems            : ['NNS']                            
discussed           : ['VBN']                            location            : ['NNP', 'NN']                      
acm                 : ['NNP']                            thousands           : ['NNS']                            
dependency          : ['NN', 'NNS']                      range               : ['NN']                             
important           : ['JJ']                             ensure              : ['VB']                             
rule                : ['NN', 'NNS', 'NNP']               co-experiencing     : ['JJ']                             
introduced          : ['VBN']                            or                  : ['CC', 'NNP']                      
automatically       : ['RB']                             swimming            : ['NN']                             
owl                 : ['NNP']                            own                 : ['JJ']                             
firstly             : ['RB']                             facility            : ['NNP', 'NN']                      
into                : ['IN']                             within              : ['IN']                             
child               : ['NN']                             bound               : ['NN', 'VBN']                      
due                 : ['JJ']                             down                : ['RP', 'RB']                       
r2                  : ['NNS']                            appropriate         : ['JJ']                             
because             : ['RB', 'IN']                       movements           : ['NNS']                            
selected            : ['VBN']                            determine           : ['VB']                             
xn-1                : ['VB', 'NNP', 'RB']                browser             : ['NNP']                            
reducing            : ['NN', 'VBG']                      theoretically       : ['NNP']                            
mental              : ['JJ']                             clustering          : ['NN']                             
4-star              : ['JJ', 'NNP']                      networking          : ['NN']                             
innate              : ['JJ']                             retrieving          : ['VBG', 'JJ']                      
cyber-physical-socio: ['JJ']                             removing            : ['VBG']                            
unchanging          : ['JJ']                             initial             : ['JJ']                             
u1                  : ['NNP']                            transform           : ['VB']                             
long                : ['JJ']                             u2                  : ['CD']                             
much                : ['JJ']                             low                 : ['JJ']                             
way                 : ['NN']                             naturally           : ['RB']                             
function            : ['NN']                             200usd              : ['CD']                             
human               : ['NNP', 'JJ', 'NN']                form                : ['NN', 'VB', 'RB']                 
phenomena           : ['NNS']                            refined             : ['VBN']                            
differences         : ['NNS']                            extended            : ['VBN']                            
applicable          : ['JJ']                             subjective          : ['JJ']                             
collected           : ['VBN']                            economic            : ['JJ']                             
construction        : ['NN']                             link                : ['NN', 'VBP', 'VB']                
repeatedly          : ['RB']                             larger              : ['JJR']                            
-lrb-               : ['-LRB-']                          be                  : ['VB', 'VBP']                      
role                : ['NN']                             true                : ['JJ']                             
deployed            : ['VBN']                            coupling            : ['NN']                             
extend              : ['VB']                             condition           : ['NN']                             
pi                  : ['NNP', 'NN']                      n.                  : ['NNP', 'JJ', 'NN']                
reserve             : ['VB']                             default             : ['NN']                             
characteristic      : ['NN']                             p.xi                : ['NNS']                            
social              : ['JJ']                             up                  : ['RP']                             
cim                 : ['NNP']                            different           : ['JJ', 'VBG']                      
politic             : ['JJ']                             converted           : ['VBN']                            
retaining           : ['VBG']                            ruling              : ['VBG']                            
essential           : ['JJ']                             heterogeneous       : ['JJ']                             
problem             : ['NN']                             subclasses          : ['NNS']                            
clear               : ['JJ']                             positioning         : ['NN']                             
distance            : ['NN']                             high-dimensional    : ['JJ']                             
storing             : ['VBG']                            changes             : ['NNS']                            
required            : ['VBN']                            proved              : ['VBN']                            
videos              : ['NNS']                            -rrb-               : ['-RRB-', 'RB']                    
defined             : ['VBN']                            recognize           : ['VB']                             
5.1                 : ['NNP']                            citation            : ['NN']                             
influence           : ['NN', 'VBP', 'VB']                general             : ['JJ', 'NN']                       
''                  : ["''"]                             alarm               : ['VB']                             
scientific          : ['JJ']                             enable              : ['VBP', 'VB']                      
exist               : ['VB', 'VBP']                      at                  : ['IN']                             
file                : ['NN']                             corresponding       : ['JJ', 'VBZ']                      
reflecting          : ['VBG']                            distributions       : ['NNS']                            
statuses            : ['NNS']                            defines             : ['VBZ']                            
inter-point         : ['JJ']                             classifying         : ['VBG']                            
compared            : ['VBN']                            completeness        : ['NNS']                            
top-down            : ['JJ']                             dotted              : ['JJ']                             
no                  : ['DT', 'RB']                       there               : ['EX']                             
42                  : ['CD']                             rs                  : ['NNP', 'NN', 'VBN']               
40                  : ['CD']                             41                  : ['CD']                             
points              : ['NNS', 'VBZ']                     compares            : ['VBZ']                            
recognition         : ['NN']                             appending           : ['VBG']                            
mathematics         : ['NNS']                            xml&w               : ['NNP']                            
sub-coordinates     : ['NNS']                            node                : ['NN']                             
dependence          : ['NN', 'NNP']                      's                  : ['POS', 'VBZ']                     
users               : ['NNS']                            calculating         : ['VBG']                            
students            : ['NNS']                            dtds                : ['NNS']                            
class               : ['NN']                             setting             : ['VBG']                            
digital             : ['JJ']                             update              : ['NN']                             
includes            : ['VBZ']                            superclass          : ['NNS']                            
generated           : ['VBN']                            a2                  : ['NNP', 'NNS']                     
establish           : ['VB']                             studied             : ['VBN']                            
ors2                : ['NNP']                            structure           : ['NN']                             
ors1                : ['NNP']                            implies             : ['VBZ']                            
banff               : ['NNP']                            using               : ['VBG']                            
vice                : ['RB', 'NN']                       assume              : ['VBP']                            
values              : ['NNS', 'VBZ']                     proposed            : ['VBN']                            
