f0003:

W_Fdic:
the                 : 1381    and                 : 886     of                  : 530     space               : 482     
symbol              : ['NN']                             vertex              : ['NN']                             
includes            : ['VBZ']                            a1                  : ['JJ', 'NNP', 'CD']                
a3                  : ['CD', 'NNP']                      important           : ['JJ']                             
a4                  : ['NNP']                            spouse              : ['NN']                             
building            : ['VBG', 'NN']                      mass                : ['NN']                             
nelson              : ['NNP']                            directory           : ['NNP']                            
nutrient            : ['JJ']                             starting            : ['VBG', 'JJ']                      
represent           : ['VB', 'VBP']                      all                 : ['DT', 'PDT']                      
machine-understandable: ['JJ']                             pointing            : ['VBG']                            
executing           : ['VBG']                            dish                : ['NN']                             
follow              : ['VBP']                            long-run            : ['NN']                             
research            : ['NN', 'NNP']                      decisions           : ['NNS']                            
children            : ['NNP', 'NNS']                     causes              : ['NNS']                            
equivalence         : ['NN']                             removal             : ['NN']                             
tn                  : ['NN']                             to                  : ['TO']                             
tm                  : ['NN']                             preserved           : ['VBN', 'RB']                      
nodes               : ['NNS', 'JJ']                      co-computing        : ['JJ']                             
homepage            : ['NN']                             activities          : ['NNS']                            
belonging           : ['VBG']                            relieve             : ['VB']                             
dellink             : ['NNP']                            very                : ['RB']                             
problem-solving     : ['JJ']                             difference          : ['NN']                             
condition           : ['NN']                             neurological        : ['JJ']                             
accompanying        : ['VBG']                            issue               : ['NN']                             
globality           : ['RB']                             list                : ['NN']                             
t0                  : ['NNS']                            intricately         : ['RB']                             
t.                  : ['NN']                             adjust              : ['VB']                             
small               : ['JJ']                             biological          : ['JJ']                             
foundation          : ['NN']                             tea                 : ['NN']                             
past                : ['NN', 'JJ']                       rate                : ['NN']                             
invention           : ['NN']                             design              : ['NN', 'NNP', 'VB']                
perspective         : ['NN']                             pass                : ['VB']                             
further             : ['JJ', 'RBR']                      situated            : ['VBN']                            
what                : ['WP', 'WDT']                      nonlinear           : ['NN']                             
section             : ['NN']                             overload            : ['NN']                             
self-adaptive       : ['JJ']                             subspaces           : ['NNS']                            
scientists          : ['NNS']                            public              : ['JJ']                             
contrast            : ['NN']                             movement            : ['NN']                             
answers             : ['NNS']                            operating           : ['VBG']                            
compressed          : ['VBN']                            search              : ['VB', 'NN']                       
generalizing        : ['VBZ']                            zoom-in             : ['JJ']                             
inspired            : ['VBN']                            stretching          : ['VBG']                            
allows              : ['VBZ']                            experience          : ['NN']                             
social              : ['JJ', 'NNP']                      action              : ['NN']                             
inspires            : ['VBZ']                            via                 : ['IN']                             
family              : ['NN']                             screens             : ['NNS']                            
texts               : ['NNS']                            analyzing           : ['VBG', 'NN']                      
trained             : ['VBZ']                            commonalities       : ['NNS']                            
establish           : ['VB']                             detecting           : ['VBG']                            
select              : ['VB']                             literary            : ['JJ']                             
takes               : ['VBZ']                            uniformity          : ['NN']                             
probabilities       : ['NNS']                            destination         : ['NN']                             
two                 : ['CD']                             soil                : ['NN']                             
taken               : ['VBN']                            more                : ['RBR', 'JJR']                     
knows               : ['VBZ']                            initiated           : ['VBD']                            
constructs          : ['VBZ']                            telephone           : ['NN']                             
controlling         : ['VBG']                            surface             : ['NN']                             
zhuge               : ['NNP']                            particular          : ['JJ']                             
known               : ['VBN', 'JJ']                      coincidently        : ['RB']                             
evolves             : ['VBZ', 'NNS']                     self-organize       : ['RB', 'VB']                       
resources           : ['NNS', 'NNPS', 'NNP']             evolved             : ['VBN', 'JJ']                      
learn               : ['VB', 'VBP']                      strategies          : ['NNS']                            
specialized         : ['VBN']                            history             : ['NN', 'VB']                       
challenging         : ['VBG']                            share               : ['VB']                             
accept              : ['VB']                             states              : ['NNS']                            
minimum             : ['JJ']                             arise               : ['VBP', 'VB']                      
species             : ['NNS']                            huge                : ['JJ']                             
respective          : ['JJ']                             goal                : ['NN']                             
rather              : ['RB']                             acts                : ['NNS']                            
att                 : ['NN']                             maps                : ['NNS']                            
influences          : ['NNS', 'VBZ']                     communicating       : ['NN', 'VBG']                      
space?artifact      : ['JJ']                             derived             : ['VBN']                            
mapping             : ['VBG', 'NNP', 'NN', 'VBZ']        questioning         : ['NN']                             
reflect             : ['VB', 'VBP']                      tries               : ['VBZ']                            
derives             : ['VBZ']                            summarization       : ['NN']                             
short               : ['JJ']                             anytime             : ['RB']                             
co-exist            : ['VB']                             specifying          : ['VBG']                            
fundamental         : ['JJ']                             retrieval           : ['NN']                             
help                : ['NN', 'VB']                       hierarchy           : ['NN']                             
essence             : ['NN']                             hypertext           : ['NNP', 'NN']                      
pronomes            : ['NNS']                            held                : ['VBN']                            
paper               : ['NN']                             through             : ['IN', 'RP']                       
filters             : ['NNS']                            existence           : ['NN']                             
its                 : ['PRP$']                           developer           : ['NN']                             
24                  : ['CD']                             25                  : ['CD']                             
style               : ['NN']                             27                  : ['CD']                             
20                  : ['CD']                             21                  : ['CD']                             
22                  : ['CD']                             23                  : ['CD']                             
28                  : ['CD']                             29                  : ['CD']                             
actually            : ['RB']                             detected            : ['VBN']                            
systems             : ['NNS', 'NNPS']                    alter               : ['VB']                             
gaze-centered       : ['JJ']                             pursue              : ['VB']                             
incompleteness      : ['NNS']                            seeking             : ['VBG']                            
food                : ['NN']                             reflected           : ['VBN']                            
framework           : ['NN', 'NNP']                      communities         : ['NNS']                            
instructions        : ['NNS']                            mystery             : ['NN']                             
channels            : ['NNS']                            philosophical       : ['JJ']                             
micro               : ['JJ']                             -lsb-               : ['VBZ', 'NNP', 'VBG', 'CD', 'JJ', 'NNS', 'NN']
found               : ['VBN']                            friendship          : ['NN']                             
heavy               : ['JJ']                             mental              : ['JJ', 'NNP']                      
weight              : ['NN']                             generation          : ['NN']                             
energy              : ['NN', 'NNP']                      hard                : ['JJ']                             
wernicke            : ['NNP']                            idea                : ['NN']                             
connect             : ['VB', 'VBP']                      loops               : ['NNS']                            
operation           : ['NN', 'JJ']                       beyond              : ['IN']                             
event               : ['NN']                             try                 : ['VBP']                            
psychology          : ['NN']                             discrete            : ['JJ']                             
unnatural           : ['JJ']                             since               : ['IN']                             
denotes             : ['VBZ']                            health              : ['NN', 'NNP']                      
hill                : ['NN']                             denoted             : ['NN', 'VBN']                      
evaluation          : ['NN']                             semiotic            : ['JJ']                             
like                : ['IN', 'JJ', 'VB']                 reason              : ['VB', 'NNP', 'NN']                
base                : ['NN', 'NNP']                      imagine             : ['VB']                             
put                 : ['VB']                             beginning           : ['NN']                             
generate            : ['VB', 'VBP']                      definition          : ['NN']                             
owners              : ['NNS']                            computers           : ['NNS']                            
co-location         : ['NN']                             edges               : ['NNS']                            
consequence         : ['NN']                             major               : ['JJ']                             
unhealthy           : ['JJ']                             probability         : ['NN']                             
feel                : ['VB', 'NN']                       relate              : ['VBP']                            
number              : ['NN', 'NNP']                      linking             : ['VBG', 'NNS', 'VB', 'NN', 'JJ', 'VBD']
instances           : ['NNS']                            1874                : ['CD']                             
neglects            : ['VBZ']                            story               : ['NN']                             
temperature         : ['NN']                             divorce             : ['NN']                             
interact            : ['NN', 'VB', 'VBN', 'VBP']         paranomes           : ['NNS']                            
construct           : ['VB']                             regulation          : ['NN']                             
assumption          : ['NN']                             store               : ['VB']                             
schema              : ['NN']                             implements          : ['VBZ']                            
muscles             : ['NNS']                            relationship        : ['NN']                             
newell              : ['NNP']                            part                : ['NN']                             
pronome             : ['NN']                             authors             : ['NNS']                            
translation         : ['NN']                             center              : ['NN']                             
kind                : ['NN']                             farming             : ['NN']                             
aims                : ['VBZ']                            recording           : ['VBG']                            
determined          : ['VBN']                            contrary            : ['NN']                             
next-generation     : ['JJ']                             toward              : ['IN']                             
treated             : ['VBN']                            interactive         : ['JJ', 'VBZ', 'NNP']               
motivation          : ['NN']                             5-tuple             : ['JJ']                             
empiricists         : ['NNS']                            sentences           : ['NNS']                            
organs              : ['NNS']                            orders              : ['NNS']                            
paths               : ['NNS']                            built               : ['VBN']                            
extracted           : ['VBN']                            recognizing         : ['VBG']                            
internal            : ['JJ']                             interconnection     : ['NN']                             
analogy             : ['NN']                             peer-to-peer        : ['JJ', 'NN']                       
play                : ['VBP', 'VB']                      added               : ['VBN']                            
warnings            : ['NNS']                            programmers         : ['NNS']                            
measures            : ['NNS']                            reach               : ['VB']                             
react               : ['VBP']                            most                : ['JJS', 'RBS']                     
75                  : ['CD']                             74                  : ['CD', 'NNP']                      
experiences         : ['NNS']                            72                  : ['CD']                             
significant         : ['JJ']                             comparisons         : ['NNS']                            
services            : ['NNS', 'NNP']                     probabilistic       : ['JJ']                             
79                  : ['CD']                             78                  : ['CD']                             
constructed         : ['VBN']                            windows             : ['NNS']                            
sometimes           : ['RB']                             cover               : ['VBP', 'NN']                      
traditional         : ['JJ']                             bodies              : ['NNS']                            
predictable         : ['JJ']                             physics             : ['NN']                             
phenomenon          : ['NN']                             doctors             : ['NNS']                            
converge            : ['VB']                             relation            : ['NN']                             
find                : ['VB']                             indicator           : ['NN']                             
parameters          : ['NNS']                            justice             : ['NN']                             
less                : ['RBR', 'JJR']                     distributed         : ['VBN']                            
being               : ['NN']                             flights             : ['NNS']                            
eruptions           : ['NNS']                            his                 : ['PRP$']                           
triangle            : ['NN']                             invoke              : ['VB']                             
express             : ['VB']                             trees               : ['NNS']                            
shared              : ['VBN']                            during              : ['IN']                             
enemy               : ['NN']                             showed              : ['VBD']                            
knowledge-based     : ['JJ']                             stored              : ['VBN']                            
common              : ['JJ']                             logistic            : ['JJ']                             
activity            : ['NN']                             sustainable         : ['JJ']                             
precaution          : ['NN']                             locating            : ['VBG']                            
consciously         : ['RB']                             set                 : ['NN', 'VBN']                      
art                 : ['NN']                             text-text           : ['NN']                             
intelligence        : ['NN']                             uses                : ['VBZ']                            
culture             : ['VB', 'NN']                       see                 : ['VB']                             
individual          : ['NN', 'JJ']                       are                 : ['VBP']                            
close               : ['RB', 'JJ']                       -rsb-               : ['NNP', 'NNS', 'CD', 'JJ', 'NN', 'VBZ']
turing              : ['NNP', 'NN', 'VBG']               visualize           : ['VB']                             
probable            : ['JJ']                             expert              : ['NN']                             
various             : ['JJ']                             probably            : ['RB']                             
conditions          : ['NNS']                            available           : ['JJ']                             
creating            : ['VBG']                            unconscious         : ['JJ']                             
missing             : ['VBG']                            sold                : ['VBN']                            
attention           : ['NN']                             general-purpose     : ['JJ']                             
coffee              : ['NN']                             sub-healthy         : ['JJ']                             
distinguish         : ['VB']                             both                : ['DT']                             
collaborators       : ['NNS']                            enables             : ['VBZ']                            
hyperlink           : ['NN', 'NNP', 'VBZ']               influential         : ['JJ']                             
sensitive           : ['JJ']                             context             : ['NN']                             
long-term           : ['JJ', 'VB']                       whole               : ['JJ', 'NN']                       
load                : ['NN']                             volcanic            : ['JJ']                             
point               : ['NN']                             reasons             : ['VBZ', 'NNS']                     
community           : ['NN', 'NNP']                      regulated           : ['VBN']                            
adaptation          : ['NN']                             openness            : ['VB']                             
described           : ['VBD', 'VBN']                     raise               : ['VB']                             
create              : ['VB', 'VBP']                      outstanding         : ['JJ']                             
due                 : ['JJ']                             earthquake          : ['NN']                             
whom                : ['WP']                             maintenance         : ['NN']                             
engelbart           : ['NNP']                            pj                  : ['NN']                             
pi                  : ['NN']                             generating          : ['VBG']                            
self-organized      : ['JJ', 'VBN']                      great               : ['JJ']                             
modelling           : ['NN']                             gap                 : ['NN']                             
adaptable           : ['JJ']                             understand          : ['VB']                             
demand              : ['NN']                             assigning           : ['VBG']                            
uncertain           : ['JJ']                             evaluated           : ['VBN']                            
33                  : ['CD']                             while               : ['IN', 'NN']                       
evaluating          : ['VBG']                            leaning             : ['VBG']                            
guide               : ['NNP', 'NN']                      loop                : ['NN']                             
engineers           : ['NNS']                            larger              : ['JJR']                            
itself              : ['PRP']                            rif                 : ['NNP']                            
regulate            : ['VB']                             belong              : ['VB', 'VBP']                      
externalize         : ['VB']                             rules               : ['NNS', 'VBZ', 'NNP']              
virtually           : ['RB']                             widely              : ['RB']                             
peoples             : ['NNS']                            composition         : ['NN']                             
higher              : ['JJR']                            development         : ['NN']                             
used                : ['VBN', 'VBD']                     cyber-mental        : ['JJ']                             
yesterday           : ['NN']                             flows               : ['NNS', 'VBZ']                     
levels              : ['NNS']                            moving              : ['VB']                             
user                : ['NN']                             stack               : ['NNP']                            
recent              : ['JJ']                             lower               : ['JJR']                            
supersede           : ['JJ']                             database            : ['NN']                             
human-centered      : ['VBZ', 'JJ']                      analysis            : ['NNP', 'NN']                      
obviously           : ['RB']                             person              : ['NN']                             
regulating          : ['VBG']                            traffic             : ['NN', 'NNP']                      
distances           : ['NNS']                            abilities           : ['NNS']                            
questions           : ['NNS']                            world               : ['NN', 'NNP']                      
useful              : ['JJ']                             tables              : ['NNS']                            
waste               : ['NN']                             cup                 : ['NN']                             
immigrating         : ['VBG']                            causal-predictive   : ['JJ']                             
signals             : ['NNS']                            source              : ['NN']                             
hyperlinks          : ['NNS']                            parents             : ['NNS']                            
location            : ['NN']                             theorem             : ['NN']                             
relevance           : ['NN']                             tea-cultural        : ['JJ']                             
transformation      : ['NN']                             build               : ['VB']                             
...                 : [':']                              trigg               : ['NNP']                            
big                 : ['JJ']                             showing             : ['VBG']                            
unlimited           : ['JJ']                             formal              : ['JJ']                             
follows             : ['VBZ']                            language-games      : ['NNS']                            
consensus           : ['NN']                             collect             : ['VB']                             
individuals         : ['NNS']                            indication          : ['NN']                             
terminology         : ['NN']                             mathematical        : ['JJ']                             
sketch              : ['NN']                             ecology             : ['NNP']                            
methods             : ['NNS']                            b.                  : ['NNP']                            
creation            : ['NN']                             some                : ['DT']                             
back                : ['RB', 'RP']                       b4                  : ['NNP']                            
one-way             : ['VBG']                            economic            : ['JJ']                             
instantiating       : ['VBG']                            accelerate          : ['VB']                             
b2                  : ['NN']                             b3                  : ['NNP']                            
scale               : ['NN']                             decision            : ['NN']                             
behave              : ['VB']                             innovation          : ['NN']                             
augmenting          : ['VBG']                            inserting           : ['VBG']                            
be                  : ['VB']                             run                 : ['NN']                             
bc                  : ['NNP']                            processing          : ['NN', 'VBG']                      
use                 : ['NN', 'VB', 'VBP']                subconscious        : ['NNP']                            
viewpoints          : ['NNS']                            become              : ['VB']                             
from                : ['IN']                             by                  : ['IN']                             
77                  : ['CD']                             anything            : ['NN']                             
76                  : ['CD', 'NNP']                      coexist             : ['NN', 'JJ']                       
tracing             : ['VBG']                            simulation          : ['NNP']                            
range               : ['NN']                             together            : ['RB']                             
73                  : ['CD']                             plan                : ['VB']                             
computational       : ['JJ']                             71                  : ['CD']                             
into                : ['IN']                             within              : ['IN']                             
appropriate         : ['JJ']                             -rrb-               : ['-RRB-']                          
frames              : ['NNP']                            clustering          : ['VBG']                            
statistics          : ['NNS']                            straight-line       : ['JJ']                             
innate              : ['JJ']                             measured            : ['VBN']                            
question            : ['NN']                             long                : ['JJ']                             
thirdly             : ['RB']                             manufacture         : ['NN']                             
behaving            : ['VBG']                            criteria            : ['NNS']                            
link                : ['VB', 'NN', 'VBP', 'NNP']         externalizing       : ['VBG']                            
-lrb-               : ['-LRB-']                          line                : ['NNP', 'NN']                      
deployed            : ['VBN']                            directed            : ['JJ']                             
characteristic      : ['NN']                             transmits           : ['VBZ']                            
up                  : ['RP', 'RB']                       us                  : ['PRP']                            
mobile              : ['JJ']                             exploration         : ['NNP']                            
continuously        : ['RB']                             autonomous          : ['JJ', 'VB']                       
similar             : ['JJ']                             medical             : ['JJ']                             
defined             : ['VBN']                            influence           : ['VB', 'NN', 'VBP', 'NNP']         
single              : ['JJ']                             diverse             : ['JJ']                             
behavior            : ['NN']                             tends               : ['VBZ']                            
composing           : ['VBG', 'VBD']                     application         : ['NN']                             
reflections         : ['NNS']                            explaining          : ['VBG']                            
draw                : ['VB']                             co-wave             : ['VBP']                            
users               : ['NNS', 'NNP']                     problems            : ['NNS']                            
robots              : ['NNS']                            regulations         : ['NNS']                            
generated           : ['VBN']                            fertilizer          : ['NN']                             
structure           : ['NN']                             independently       : ['RB']                             
methodologies       : ['NNS']                            cooker              : ['NN']                             
zooming             : ['NN', 'VBG', 'VBZ']               age                 : ['VBP', 'NN']                      
required            : ['VBN']                            socrates            : ['NNP']                            
far                 : ['RB']                             requires            : ['VBZ']                            
having              : ['VBG']                            web/internet        : ['NN', 'NNP', 'JJ']                
once                : ['IN']                             partial             : ['JJ']                             
issued              : ['VBN']                            results             : ['NNS']                            
existing            : ['VBG', 'JJ']                      logic-based         : ['JJ']                             
classic             : ['JJ']                             go                  : ['VB']                             
query               : ['JJ', 'RB', 'NN']                 issues              : ['NNS']                            
compose             : ['VB']                             vannevar            : ['NNP']                            
concerned           : ['JJ', 'VBD', 'VBN']               languages           : ['NNS']                            
helps               : ['VBZ']                            visualizing         : ['VBG']                            
worldviews          : ['NNS']                            include             : ['VBP', 'VB']                      
pre-designed        : ['JJ']                             indicating          : ['VBG']                            
wave                : ['VB']                             end-of-use          : ['JJ']                             
telling             : ['VBG']                            drinking            : ['VBG']                            
categories          : ['NNS']                            entire              : ['JJ']                             
experiencing        : ['VBG']                            notes               : ['NNS']                            
repository          : ['NN']                             assignments         : ['NNS']                            
reasoning/navigation: ['NN']                             deleting            : ['VBG']                            
versioning          : ['VBG']                            logistics           : ['NNS']                            
limitations         : ['NNS']                            odp                 : ['NNP']                            
imply               : ['VB']                             video               : ['NN']                             
life-time           : ['NN']                             optimize            : ['VB']                             
plays               : ['VBZ']                            paintings           : ['NNS']                            
giving              : ['VBG']                            networks            : ['NNS']                            
access              : ['NN', 'VB']                       experiment          : ['NN']                             
collins             : ['NNP']                            focuses             : ['VBZ']                            
fertilization       : ['NN']                             respectively        : ['RB']                             
delivering          : ['JJ']                             65                  : ['CD']                             
believed            : ['VBD']                            explore             : ['VBZ', 'VB']                      
objects             : ['NNS']                            cyber-physical      : ['JJ', 'NNP']                      
separation          : ['NN']                             others              : ['NNS']                            
safer               : ['JJR']                            invented            : ['VBN']                            
implicit            : ['JJ']                             suggest             : ['VBP']                            
39                  : ['CD']                             38                  : ['CD']                             
receive             : ['VB']                             involved            : ['VBN']                            
31                  : ['CD']                             30                  : ['CD']                             
37                  : ['CD']                             36                  : ['CD']                             
35                  : ['CD']                             34                  : ['CD']                             
rdf                 : ['NNP']                            products            : ['NNS']                            
opinion             : ['NN']                             implement           : ['VB']                             
self-similarity     : ['NN']                             decentralized       : ['JJ']                             
apple               : ['NN']                             scales              : ['NNS']                            
manage              : ['VB']                             collaborating       : ['VBG']                            
motor               : ['NN']                             tools               : ['NNS']                            
fed                 : ['VBN']                            refers              : ['VBZ']                            
metaphor            : ['NN']                             facets              : ['NNS']                            
consumption         : ['NN']                             mirrors             : ['NNS']                            
few                 : ['JJ']                             depicted            : ['VBN']                            
camera              : ['NN']                             attribute           : ['NN']                             
546                 : ['NNP']                            themselves          : ['PRP']                            
reflects            : ['VBZ']                            started             : ['VBN']                            
becomes             : ['VBZ']                            cooperate           : ['VB', 'VBP']                      
carrying            : ['VBG']                            popper              : ['NNP']                            
central             : ['JJ']                             account             : ['NN']                             
defines             : ['VBZ']                            integrating         : ['VBG']                            
this                : ['DT']                             challenge           : ['NN']                             
reproduce           : ['VB']                             obvious             : ['JJ']                             
industrial          : ['JJ']                             fulfill             : ['VB']                             
proof               : ['NN']                             control             : ['NN', 'VBP', 'VB']                
links               : ['NNS', 'VBZ', 'NN']               process             : ['VB', 'NN']                       
favorite            : ['JJ']                             purposes            : ['NNS']                            
pieces              : ['NNS']                            high                : ['JJ']                             
effectively         : ['RB']                             reserves            : ['VBZ']                            
dictation           : ['NN']                             expandable          : ['JJ']                             
schemas             : ['NNS']                            syndrome            : ['NN']                             
six                 : ['CD']                             carries             : ['VBZ']                            
regions             : ['NNS']                            located             : ['VBN']                            
service-oriented    : ['NNP']                            unites              : ['VBZ']                            
intelligent         : ['JJ']                             zooming-in          : ['JJ', 'NNP']                      
co-evolve           : ['JJ', 'VB', 'VBP']                buildings           : ['NNS']                            
g?del               : ['NNP']                            philosophy          : ['NN']                             
collection          : ['NN']                             reasoned            : ['VBD']                            
multiplication      : ['NN']                             efficiently         : ['VB', 'RB']                       
realized            : ['VBN']                            introduced          : ['VBD', 'VBN']                     
light               : ['JJ', 'NN']                       wittgenstein        : ['NNP']                            
redundant           : ['JJ']                             object-oriented     : ['JJ', 'NNP']                      
metaphors           : ['NNS']                            allow               : ['VBP']                            
berger              : ['NNP']                            competing           : ['VBG']                            
interpreted         : ['VBN']                            symbols             : ['NNS']                            
including           : ['VBG']                            referencing         : ['NN']                             
agricultural        : ['JJ']                             facilitates         : ['VBZ']                            
industries          : ['NNS']                            write               : ['VB']                             
multi-dimensional   : ['JJ']                             micro-environment   : ['NN']                             
temporal            : ['JJ']                             b1                  : ['JJ']                             
pop-up              : ['JJ']                             latitude            : ['NN']                             
clusters            : ['NNS']                            defining            : ['VBG']                            
2010                : ['CD']                             archival            : ['NN']                             
richness            : ['VB']                             material            : ['NN', 'JJ']                       
front               : ['NN']                             realize             : ['VB']                             
emotion             : ['NN']                             worlds              : ['NNS']                            
establishment       : ['NN']                             accompanies         : ['VBZ']                            
transmitted         : ['VBN']                            truth               : ['NN']                             
traces              : ['NNS']                            constraints         : ['NNS']                            
activate            : ['VB']                             inputs              : ['VBZ']                            
pursuits            : ['NNS']                            related             : ['JJ', 'VBN']                      
constitute          : ['VBP']                            society             : ['NN', 'NNP']                      
88                  : ['CD']                             89                  : ['CD']                             
static              : ['JJ']                             variety             : ['NN']                             
olderthan           : ['NN']                             measure             : ['NN']                             
82                  : ['CD']                             83                  : ['CD']                             
programmer          : ['NN']                             81                  : ['CD']                             
