f0005:

W_Fdic:
the                 : 1154    and                 : 822     of                  : 663     to                  : 448     
deerwester          : ['NNP']                            act                 : ['VB']                             
discusses           : ['VBZ']                            or                  : ['CC']                             
road                : ['NN']                             berger              : ['NNP']                            
instruments         : ['NNS']                            image               : ['NN']                             
references          : ['NNS']                            determine           : ['VBP', 'VB']                      
einstein            : ['NNP']                            valuable            : ['JJ']                             
mark                : ['NNP']                            nowadays            : ['RB']                             
co-evolves          : ['VBZ']                            weight              : ['NN']                             
area                : ['NN']                             removing            : ['JJ']                             
there               : ['EX']                             hey                 : ['NNP', 'JJ']                      
symbiosis           : ['NNS', 'JJ', 'VBZ']               lot                 : ['NN']                             
assumes             : ['VBZ']                            complete            : ['JJ']                             
human-data          : ['JJ']                             regard              : ['NN']                             
co-occurrence       : ['JJ']                             philosophers        : ['NNS']                            
land                : ['NN']                             implies             : ['VBZ']                            
technologies        : ['NNS']                            with                : ['IN']                             
fraud               : ['NN']                             applying            : ['VBG']                            
connect             : ['VBP', 'VB']                      vehicles            : ['NNS']                            
videos              : ['FW']                             certain             : ['JJ']                             
citation            : ['NN', 'NNS']                      sales               : ['NNS']                            
general             : ['JJ']                             imagination         : ['NN']                             
as                  : ['IN', 'RB']                       reliability         : ['NN']                             
at                  : ['IN']                             planets             : ['NNS']                            
gruber              : ['NNP']                            statuses            : ['NNS']                            
again               : ['RB']                             assessing           : ['VBG']                            
completeness        : ['NNS']                            4.0                 : ['VBG']                            
storage             : ['NN']                             green               : ['JJ']                             
field               : ['NN']                             mathematics         : ['NNS', 'NN']                      
collaborative       : ['JJ', 'NNP']                      separate            : ['JJ']                             
students            : ['NNS']                            symbol              : ['NN']                             
wirth               : ['NNP']                            deriving            : ['VBG']                            
hardware            : ['NN']                             important           : ['JJ']                             
psychology          : ['NN']                             building            : ['NN', 'VBG']                      
tiger               : ['NN', 'CD']                       impossibility       : ['NN']                             
mass                : ['JJ']                             nelson              : ['NNP']                            
directory           : ['NNP']                            strings             : ['NNS']                            
represent           : ['VBP', 'VB']                      all                 : ['DT', 'RB']                       
semantic            : ['JJ', 'NNP']                      forget              : ['JJ']                             
lack                : ['NN']                             browsers            : ['NNS']                            
generalize          : ['VB']                             cooperative         : ['JJ']                             
follow              : ['VBP']                            coauthor            : ['NN']                             
decisions           : ['NNS']                            reasoning           : ['NN', 'VBG', 'JJ']                
referring           : ['VBG']                            opportunities       : ['NNS']                            
removal             : ['NN']                             to                  : ['TO']                             
foster              : ['NNP']                            preserved           : ['VBN']                            
life-cycle          : ['JJ']                             nodes               : ['NNS']                            
cause-              : ['JJ']                             activities          : ['NNS']                            
very                : ['RB']                             domain-specific     : ['JJ']                             
difference          : ['NN']                             condition           : ['NN']                             
joined              : ['VBN']                            intricately         : ['RB']                             
large               : ['JJ']                             contexts            : ['NNS']                            
adjust              : ['VB']                             form                : ['VBP', 'NN', 'VB']                
small               : ['JJ']                             biological          : ['JJ']                             
workloads           : ['NNS']                            20th                : ['JJ']                             
broader             : ['JJR']                            ten                 : ['CD']                             
self-contained      : ['JJ']                             rate                : ['NN']                             
invention           : ['NN']                             design              : ['NN', 'VB']                       
perspective         : ['NN']                             further             : ['RBR', 'RB', 'JJ']                
investment          : ['NN']                             ghemawat            : ['NNP']                            
will                : ['MD']                             what                : ['WP', 'WDT']                      
cues                : ['NNS']                            consumers           : ['NNS']                            
sun                 : ['NN']                             sum                 : ['NN']                             
overload            : ['NN']                             ,1969               : ['CD']                             
subspaces           : ['NNS']                            scientists          : ['NNS']                            
learned             : ['VBN']                            public              : ['NN', 'NNP', 'JJ']                
component           : ['NN']                             diapers             : ['NNS']                            
answers             : ['VBZ', 'NNS']                     compose             : ['VB']                             
operating           : ['VBG']                            observing           : ['VBG']                            
search              : ['NN', 'VB', 'JJ']                 nature-inspired     : ['JJ']                             
provably            : ['RB']                             identifiable        : ['JJ']                             
inspired            : ['VBD', 'VBN']                     allows              : ['VBZ']                            
experience          : ['NN', 'VBP', 'VB']                prior               : ['JJ']                             
published           : ['VBD', 'VBN']                     provable            : ['JJ']                             
specialize          : ['VB']                             inspires            : ['NNS', 'VBZ']                     
via                 : ['IN']                             gick                : ['NNP']                            
interactions        : ['NNS', 'FW']                      advocated           : ['VBD']                            
texts               : ['NNS']                            analyzing           : ['VBG']                            
aptitude            : ['JJ']                             establish           : ['VB']                             
sensors             : ['NNS']                            select              : ['VB']                             
intensive           : ['JJ']                             conventional        : ['JJ']                             
takes               : ['VBZ']                            contains            : ['VBZ']                            
two                 : ['CD']                             bio-inspired        : ['JJ']                             
compensate          : ['VB']                             characteristics     : ['NNS']                            
taken               : ['VBN']                            more                : ['JJR', 'RBR']                     
lowering            : ['VBG']                            initiated           : ['VBN']                            
constructs          : ['VBZ']                            tested              : ['VBN']                            
controlling         : ['VBG']                            zhuge               : ['NNP']                            
particular          : ['JJ']                             known               : ['VBN']                            
evolves             : ['VBZ']                            keeping             : ['VBG']                            
machine-data-machine: ['JJ']                             self-organize       : ['VBP']                            
coalition           : ['NNP']                            categorizing        : ['VBG']                            
paragraph           : ['NN']                             evolved             : ['VBN']                            
learn               : ['VBP', 'VB']                      strategies          : ['NNS']                            
specialized         : ['JJ']                             history             : ['NN']                             
compare             : ['VB']                             computers           : ['NNS']                            
impacts             : ['NNS']                            szalay              : ['JJ']                             
concept-level       : ['JJ']                             share               : ['VB', 'NN']                       
human-to-data       : ['NN', 'JJ']                       states              : ['NNPS']                           
minimum             : ['JJ']                             sense               : ['NN', 'VBP']                      
axis                : ['NNS']                            huge                : ['JJ']                             
needs               : ['VBZ']                            goal                : ['NN', 'VB']                       
rather              : ['RB']                             maps                : ['VBD']                            
transfers           : ['VBZ']                            http://www.google.org/flutrends/: ['NNP']                            
influences          : ['NNS', 'VBZ']                     explains            : ['VBZ']                            
plans               : ['NNS']                            communicating       : ['VBG']                            
derived             : ['VBN']                            orbits              : ['NNS']                            
reflect             : ['VB', 'VBP']                      tries               : ['VBZ']                            
action-centered     : ['JJ']                             human-to-human      : ['NN', 'JJ']                       
coming              : ['VBG']                            verified            : ['VBN']                            
queries             : ['NNS']                            lifecycle           : ['NN']                             
summarization       : ['NN', 'NNS']                      shortcomings        : ['NNS']                            
brynjolfsson        : ['VB']                             mislead             : ['VB']                             
discussing          : ['VBG']                            fundamental         : ['JJ']                             
retrieval           : ['NN']                             rayport             : ['NNP']                            
help                : ['VB', 'NN', 'VBP']                hierarchy           : ['NN']                             
essence             : ['NN']                             already             : ['RB']                             
through             : ['IN']                             brin                : ['VB']                             
its                 : ['PRP$']                           24                  : ['CD']                             
controllable        : ['JJ']                             26                  : ['CD']                             
rapidly             : ['RB']                             economists          : ['NNS']                            
entscheidungsproblem: ['NNP']                            solving             : ['VBG']                            
actually            : ['RB']                             verifies            : ['VBZ']                            
microscopic         : ['JJ']                             systems             : ['NNS', 'NNPS']                    
speech              : ['NN']                             fool                : ['NN']                             
incompleteness      : ['NNS']                            propose             : ['VB']                             
number              : ['NN']                             framework           : ['NNP', 'NN']                      
communities         : ['NNS']                            association         : ['NN']                             
easily              : ['RB']                             document            : ['NN']                             
fully               : ['RB']                             level               : ['NN']                             
truths              : ['NNS']                            philosophical       : ['JJ']                             
capability          : ['NN']                             habits              : ['NNS']                            
experiencing        : ['VBG']                            self-motivation     : ['NN']                             
difficult           : ['JJ']                             friendship          : ['NN']                             
subsystem           : ['NN']                             mental              : ['JJ']                             
formulate           : ['VB']                             generation          : ['NN']                             
energy              : ['NN']                             hard                : ['JJ']                             
reduce              : ['VB']                             idea                : ['NN']                             
investigated        : ['VBN']                            expect              : ['VB']                             
measurement         : ['NN']                             loops               : ['NNS']                            
operation           : ['NN']                             beyond              : ['IN']                             
event               : ['CD']                             co-constitute       : ['JJ']                             
initiatives         : ['NNS']                            funding             : ['VBG', 'NN']                      
missed              : ['VBN']                            conceptualizing     : ['NN']                             
solved              : ['VBD', 'VBN']                     since               : ['IN']                             
publish             : ['UH']                             research            : ['NN', 'NNP']                      
health              : ['NN']                             denoted             : ['VBN']                            
issue               : ['NN']                             causally            : ['RB']                             
friday              : ['NNP']                            reason              : ['NN']                             
base                : ['NNP', 'NN']                      imaging             : ['NNP', 'NN']                      
members             : ['NNS']                            generate            : ['VBP', 'VB']                      
temperature         : ['NN']                             definition          : ['NN']                             
benefits            : ['NNS']                            rejects             : ['VBZ']                            
http://hadoop.apache.og: ['VBG']                            neglected           : ['VBN']                            
major               : ['JJ']                             probability         : ['NN']                             
al.                 : ['NNP', 'NN', 'CD']                reflected           : ['VBN']                            
preservation        : ['NN']                             linking             : ['VBG', 'VBD', 'CD']               
instances           : ['RB', 'NNS']                      done                : ['VBN']                            
neglects            : ['VBZ']                            miss                : ['VB']                             
stage               : ['NN']                             heads               : ['NNS']                            
leverage            : ['NN']                             utilization         : ['NN']                             
introduction        : ['NN']                             leading             : ['JJ']                             
interact            : ['NN', 'VB', 'VBP']                construct           : ['VB']                             
assumption          : ['NN']                             statement           : ['NN']                             
hundred             : ['CD']                             store               : ['VB']                             
schema              : ['NN']                             shifted             : ['VBN']                            
relationship        : ['NN']                             newell              : ['NNP']                            
measurable          : ['JJ']                             part                : ['NN']                             
authors             : ['NNS']                            inventing           : ['JJ']                             
translation         : ['NN']                             believe             : ['VB', 'VBP']                      
clarifying          : ['VBG']                            kind                : ['NN']                             
molecular           : ['JJ']                             determines          : ['VBZ']                            
system-to-system    : ['JJ']                             aims                : ['VBZ', 'NNP', 'NNS']              
determined          : ['VBN']                            2020                : ['CD']                             
risks               : ['VBZ']                            toward              : ['IN']                             
remembers           : ['VBZ']                            interactive         : ['JJ', 'NNP', 'NN']                
deciding            : ['VBG']                            motivation          : ['NN', 'NNS']                      
higher-level        : ['JJ']                             karl                : ['NNP']                            
outputting          : ['VBG']                            lie                 : ['VB']                             
nights              : ['NNS']                            built               : ['VBN']                            
depending           : ['VBG']                            officers            : ['NNS']                            
extracted           : ['VBN']                            recognizing         : ['VBG']                            
internal            : ['JJ']                             build               : ['VB']                             
analogy             : ['NN']                             finding             : ['VBG', 'NN']                      
analogs             : ['NNS']                            play                : ['VBP', 'VB']                      
towards             : ['IN']                             electric            : ['JJ']                             
programmers         : ['NNS']                            serve               : ['VB']                             
measures            : ['NNS']                            reach               : ['VB']                             
most                : ['RBS', 'JJS']                     experiences         : ['NNS', 'VBZ']                     
plan                : ['NN']                             significant         : ['JJ']                             
services            : ['NNS', 'NNPS', 'VBZ']             accepting           : ['VBG']                            
infrastructures     : ['NNS']                            extremely           : ['RB']                             
salary              : ['NN']                             unsupervised        : ['JJ']                             
mobile              : ['JJ']                             arising             : ['JJ', 'VBG']                      
clear               : ['JJ']                             sometimes           : ['RB']                             
coincides           : ['VBZ']                            unreasonable        : ['JJ']                             
traditional         : ['JJ']                             velocity            : ['NN']                             
physics             : ['NN', 'NNS']                      institutions        : ['NNS']                            
joining             : ['VBG']                            phenomenon          : ['NN']                             
sparrow             : ['NNP']                            relation            : ['NN']                             
fine                : ['JJ']                             networks            : ['NNS']                            
impact              : ['NN']                             indicator           : ['NN', 'NNP']                      
simulating          : ['VBG', 'VB', 'NNP']               hope                : ['VBP']                            
distributed         : ['VBN', 'JJ', 'VBD']               failed              : ['VBD']                            
factor              : ['NN']                             his                 : ['PRP$']                           
dependent           : ['JJ']                             externalizes        : ['VBZ']                            
observatory         : ['NN']                             rest                : ['NN']                             
shared              : ['VBN']                            during              : ['IN']                             
him                 : ['PRP']                            deductive           : ['JJ']                             
data-to-data        : ['VB']                             knowledge-based     : ['JJ']                             
stored              : ['VBN']                            common              : ['JJ']                             
activity            : ['NN']                             sustainable         : ['NNP', 'JJ']                      
scanning            : ['VBG', 'NNP']                     set                 : ['NN', 'VBN']                      
tree                : ['NN']                             see                 : ['VB']                             
individual          : ['JJ', 'NN']                       are                 : ['VBP']                            
close               : ['JJ']                             expertise           : ['NN']                             
deploying           : ['VBG']                            connectionism       : ['NN']                             
gravitation         : ['NN']                             threats             : ['NNS']                            
expert              : ['NN']                             pictures            : ['NNS']                            
currently           : ['RB']                             rejecting           : ['VBG']                            
various             : ['JJ']                             conditions          : ['NNS']                            
available           : ['JJ']                             creating            : ['VBG']                            
unconscious         : ['JJ']                             missing             : ['VBG']                            
interfaces          : ['NNS']                            attention           : ['NN']                             
general-purpose     : ['JJ']                             distinguish         : ['VB']                             
both                : ['DT', 'PDT', 'CC']                paradigms           : ['NNS']                            
improved            : ['VBN']                            hyperlink           : ['NN']                             
became              : ['VBD']                            context             : ['NN']                             
long-term           : ['JJ']                             whole               : ['JJ']                             
finds               : ['VBZ']                            experimental        : ['JJ']                             
millions            : ['NNS']                            large-scale         : ['JJ']                             
reasons             : ['NNS']                            loan                : ['NN']                             
community           : ['NN', 'NNP']                      simply              : ['RB']                             
capabilities        : ['NNS']                            upgrades            : ['VBZ']                            
throughout          : ['IN']                             expensive           : ['JJ']                             
decline             : ['VB', 'NN']                       ensures             : ['VBZ']                            
described           : ['VBD']                            raise               : ['VBP', 'VB']                      
lattice             : ['NN']                             create              : ['VBP', 'VB']                      
human-human         : ['JJ']                             due                 : ['JJ']                             
strategy            : ['NN']                             johannes            : ['NNP']                            
ecologists          : ['NNS']                            http://www.industrialinternetconsortium.org: ['VBG']                            
maintenance         : ['NN']                             collected           : ['VBN']                            
adoption            : ['NN']                             extreme             : ['JJ']                             
generating          : ['VBG', 'NNP']                     top-down            : ['JJ']                             
transferring        : ['VBG']                            gap                 : ['NN']                             
understand          : ['VB', 'VBP']                      demand              : ['NN']                             
prices              : ['NNS']                            unify               : ['VB']                             
solid               : ['JJ']                             reliable            : ['JJ']                             
empirical           : ['JJ']                             technical           : ['JJ']                             
while               : ['IN']                             optimization        : ['NN']                             
accidently          : ['RB']                             evaluating          : ['VBG']                            
evaluates           : ['VBZ']                            designing           : ['VBG']                            
engineers           : ['NNS']                            computed            : ['VBN']                            
real                : ['JJ']                             century             : ['NN']                             
pylyshyn            : ['VB', 'NNP']                      itself              : ['PRP']                            
estimate            : ['VB']                             belong              : ['VBP']                            
hadoop              : ['NNP']                            rules               : ['NNS', 'VB', 'VBZ', 'NNPS']       
widely              : ['RB']                             grand               : ['JJ']                             
composition         : ['NN']                             higher              : ['JJR']                            
development         : ['NN']                             used                : ['VBN', 'VBD']                     
undecidable         : ['JJ']                             comprehensive       : ['JJ']                             
flows               : ['VBZ']                            domains             : ['NNS']                            
viewing             : ['VBG']                            levels              : ['NNS']                            
uses                : ['VBZ']                            purpose             : ['NN']                             
necessity           : ['NN']                             recent              : ['JJ']                             
lower               : ['JJR']                            task                : ['NN']                             
surrogate           : ['NN']                             globus              : ['NNP']                            
spent               : ['VBD']                            analysis            : ['NN', 'NNP']                      
person              : ['NN']                             machinery           : ['NN']                             
howe                : ['NNP']                            organization        : ['NN']                             
things              : ['NNS']                            abilities           : ['NNS']                            
deployment          : ['NN']                             named               : ['VBN']                            
1961                : ['CD']                             decentralized       : ['JJ', 'VBN']                      
questions           : ['NNS']                            using               : ['VBG']                            
useful              : ['JJ']                             addresses           : ['NNS']                            
discipline          : ['NN']                             tables              : ['NNS']                            
accepted            : ['VBN']                            relevancy           : ['NN']                             
readers             : ['NNS']                            guaranteed          : ['VBN']                            
representational    : ['JJ']                             source              : ['NN']                             
hyperlinks          : ['NNS']                            questioned          : ['VBN']                            
theorem             : ['NN']                             influencing         : ['VBG']                            
transformation      : ['NN']                             generalized         : ['VBN']                            
...                 : [':']                              customers           : ['NNS']                            
evaluate            : ['VB']                             edvac               : ['NN']                             
deepening           : ['VBG']                            ecosystems          : ['NNS']                            
projects            : ['VBZ']                            formal              : ['JJ']                             
cognitive           : ['JJ', 'NNP', 'NN', 'VBP']         follows             : ['VBZ']                            
signal              : ['NN']                             mismatching         : ['NN']                             
collect             : ['VBP', 'NN', 'VB', 'JJ']          individuals         : ['NNS']                            
reichman            : ['NNP']                            popular             : ['JJ']                             
essential           : ['JJ']                             clustering          : ['NN']                             
mathematical        : ['JJ']                             ecology             : ['NN']                             
often               : ['RB']                             meta-computing      : ['JJ']                             
some                : ['DT']                             understood          : ['VBN']                            
trends              : ['NNP']                            experienced         : ['VBN', 'VBD']                     
accelerate          : ['VB']                             gradually           : ['RB']                             
scale               : ['NN', 'VB']                       describing          : ['VBG']                            
broadband           : ['JJ']                             decision            : ['NN']                             
integration         : ['NN']                             cyber-social        : ['JJ']                             
connecting          : ['VBG']                            innovation          : ['NN']                             
forgets             : ['VBZ']                            be                  : ['VB']                             
run                 : ['VBN', 'VBP', 'NN', 'VB']         processing          : ['VBG', 'NN', 'NNP']               
forming             : ['VBG']                            step                : ['NN']                             
become              : ['VBN', 'VB']                      by                  : ['IN']                             
usa                 : ['NNP']                            anything            : ['NN']                             
state-of-the-art    : ['JJ']                             tracing             : ['VBG']                            
in-depth            : ['JJ']                             simulation          : ['NN']                             
consequently        : ['RB']                             complementing       : ['VBG']                            
computational       : ['JJ']                             causation           : ['NN']                             
recreate            : ['VB']                             nsf                 : ['NNP']                            
servers             : ['NNS']                            appropriate         : ['JJ']                             
centrality          : ['NN']                             behaving            : ['VBG']                            
impressed           : ['VBN']                            seger               : ['NNP']                            
innate              : ['JJ']                             retrieving          : ['VBG']                            
probabilistic       : ['JJ']                             bargaining          : ['NN']                             
long                : ['JJ']                             veracity            : ['NN']                             
forward             : ['RP']                             analyze             : ['VB']                             
sections            : ['NNS']                            transformable       : ['JJ']                             
criteria            : ['NNS']                            searching           : ['VBG', 'NN']                      
daily-life          : ['JJ']                             link                : ['VB', 'NN']                       
externalizing       : ['VBG']                            -lrb-               : ['-LRB-']                          
raising             : ['VBG']                            consist             : ['VB', 'VBP']                      
up                  : ['RP']                             us                  : ['PRP']                            
maturity            : ['NN']                             exploration         : ['NN']                             
verification        : ['NN']                             kuhn                : ['NNP']                            
continuously        : ['RB']                             etc.                : ['FW', 'RB']                       
called              : ['VBN', 'VBD']                     bell                : ['NNP']                            
storing             : ['VBG', 'VBZ']                     constant            : ['JJ']                             
influence           : ['NN', 'VBP', 'VB']                accessibility       : ['NN']                             
globally            : ['RB']                             single              : ['JJ']                             
associates          : ['VBZ']                            organizational      : ['JJ']                             
neglecting          : ['JJ']                             preventing          : ['VBG']                            
application         : ['NN']                             priori              : ['VBG', 'JJ']                      
income              : ['NN']                             intelligence        : ['NN']                             
arithmetic          : ['NN']                             revision            : ['NN']                             
explaining          : ['VBG', 'VBD']                     draw                : ['VB']                             
users               : ['NNS']                            provided            : ['VBN']                            
machine-data        : ['JJ']                             korf                : ['NNP']                            
problems            : ['NNS']                            replace             : ['VB']                             
meaning             : ['NN', 'VBG']                      fisher              : ['NNP']                            
structure           : ['NN', 'VB']                       correlated          : ['VBN']                            
methodologies       : ['NNS']                            provenance          : ['NN']                             
age                 : ['NN']                             required            : ['VBN']                            
departments         : ['NNS']                            human-data-human    : ['JJ']                             
2003                : ['CD']                             2000                : ['CD']                             
2001                : ['VBZ', 'CD']                      2006                : ['CD', 'VBZ']                      
2007                : ['CD']                             2004                : ['CD']                             
2005                : ['CD']                             2008                : ['CD']                             
2009                : ['CD', 'VBZ']                      requires            : ['VBZ']                            
fahey               : ['NNP']                            once                : ['RB']                             
codd                : ['NNP']                            co-author           : ['NNS']                            
incorporate         : ['VB']                             results             : ['NNS']                            
existing            : ['JJ', 'VBG']                      proposition         : ['NN']                             
meta-cognition      : ['NN']                             go                  : ['VBP', 'VB']                      
query               : ['NN', 'NNP']                      issues              : ['NNS']                            
copernicus          : ['NNP']                            simon               : ['NNP']                            
disposal            : ['NN']                             concerned           : ['VBD']                            
languages           : ['NNS']                            citing              : ['VBG']                            
helps               : ['VBZ']                            stable              : ['JJ']                             
include             : ['VBP']                            resources           : ['NNS']                            
grid                : ['NNP', 'NN']                      facebook            : ['NNP']                            
categories          : ['NNS']                            timely              : ['JJ']                             
recreation          : ['NNP']                            transmission        : ['NN']                             
positions           : ['NNS']                            try                 : ['VBP', 'VB']                      
licklider           : ['NNP']                            someday             : ['RB']                             
odp                 : ['NNP']                            human-computer      : ['VBZ']                            
sensation           : ['NN']                             video               : ['NNP']                            
makers              : ['NNS']                            index               : ['NN']                             
optimize            : ['VB']                             plays               : ['VBZ']                            
business            : ['NN', 'NNP']                      giving              : ['VBG']                            
han                 : ['NNP']                            find                : ['VB', 'VBP']                      
access              : ['VB', 'NN']                       19th                : ['JJ']                             
experiment          : ['NN']                             real-world          : ['JJ']                             
sviokla             : ['NNP']                            values              : ['NNS']                            
focuses             : ['VBZ']                            respectively        : ['RB']                             
pushing             : ['VBG']                            delivering          : ['VBG', 'NN']                      
following           : ['JJ', 'VBG', 'NN']                explore             : ['VB']                             
objects             : ['NNS', 'NNP']                     let                 : ['VB']                             
cyber-physical      : ['JJ', 'NNP']                      separation          : ['NN']                             
others              : ['NNS']                            invented            : ['VBN']                            
implicit            : ['JJ']                             deduced             : ['VBN']                            
great               : ['JJ']                             receive             : ['VB']                             
involved            : ['VBN']                            leaving             : ['VBG']                            
rdf                 : ['NNP']                            products            : ['NNS']                            
1937                : ['CD']                             makes               : ['VBZ']                            
involves            : ['VBZ']                            examining           : ['VBG']                            
up-to-date          : ['JJ']                             formulated          : ['VBN']                            
apple               : ['NN']                             scales              : ['NNS', 'NNPS']                    
manage              : ['VB', 'VBP']                      names               : ['NNS']                            
tools               : ['NNS']                            causal              : ['JJ']                             
cloud               : ['NN', 'JJ']                       use                 : ['NN', 'VBP', 'VB']                
refers              : ['VBZ']                            from                : ['IN']                             
